Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1668398400000,9.83600000,9.85600000,9.67200000,9.71700000,74147.26000000,1668400199999,724559.61084000,4538,37740.60000000,368754.04813000
1668400200000,9.71200000,9.79000000,9.68300000,9.78000000,53149.84000000,1668401999999,517556.91687000,3332,25192.81000000,245439.10592000
1668402000000,9.78100000,9.82600000,9.75000000,9.77100000,34952.71000000,1668403799999,342148.28458000,2403,18867.37000000,184700.10795000
1668403800000,9.77300000,9.79600000,9.66900000,9.74400000,59746.27000000,1668405599999,581599.17802000,3865,27138.52000000,264128.57634000
1668405600000,9.74300000,9.79100000,9.72000000,9.78000000,41701.37000000,1668407399999,407070.41406000,3121,19782.33000000,193085.62518000
1668407400000,9.77900000,10.23900000,9.77700000,10.19300000,225865.19000000,1668409199999,2267276.36612000,11773,113837.28000000,1142647.39818000
1668409200000,10.19800000,10.33900000,10.07800000,10.33800000,179191.83000000,1668410999999,1828574.59390000,8971,90277.96000000,921426.57734000
1668411000000,10.33100000,10.54100000,10.28400000,10.52000000,236987.46000000,1668412799999,2470173.15839000,12123,122474.28000000,1276778.86202000
1668412800000,10.51700000,10.68800000,10.45200000,10.61600000,218565.91000000,1668414599999,2308260.70086000,8052,123709.07000000,1308107.07181000
1668414600000,10.61600000,10.63200000,10.45700000,10.52100000,141313.03000000,1668416399999,1487246.29709000,5902,56961.91000000,599615.56398000
1668416400000,10.52200000,10.57000000,10.39900000,10.47500000,82390.76000000,1668418199999,862398.67524000,3888,39666.16000000,415238.77996000
1668418200000,10.47200000,10.56900000,10.45500000,10.52000000,44538.66000000,1668419999999,468602.25121000,2379,22644.06000000,238228.98084000
1668420000000,10.52500000,10.55500000,10.46700000,10.52600000,39402.70000000,1668421799999,414043.03688000,2216,17812.60000000,187221.58737000
1668421800000,10.52600000,10.62300000,10.52600000,10.59700000,51429.02000000,1668423599999,543857.42027000,2655,31118.62000000,329082.47458000
1668423600000,10.59500000,10.63600000,10.51800000,10.51900000,74043.06000000,1668425399999,783531.82480000,3191,48161.49000000,509769.45044000
1668425400000,10.51900000,10.52200000,10.47800000,10.48000000,37755.97000000,1668427199999,396472.77825000,2043,24334.05000000,255543.19090000
1668427200000,10.47700000,10.48800000,10.37700000,10.44300000,95909.18000000,1668428999999,999445.52844000,4250,46931.73000000,488587.93450000
1668429000000,10.44200000,10.49900000,10.43400000,10.49000000,54448.00000000,1668430799999,570035.55178000,3212,29393.95000000,307698.02822000
1668430800000,10.48700000,10.70500000,10.44000000,10.69900000,166106.62000000,1668432599999,1763100.95220000,7015,73698.90000000,782189.66294000
1668432600000,10.70000000,10.70300000,10.27900000,10.42100000,215001.54000000,1668434399999,2255397.98418000,8560,84358.48000000,882119.04150000
1668434400000,10.42300000,10.50700000,10.26200000,10.29200000,89679.44000000,1668436199999,932173.91682000,4503,34450.62000000,358229.00380000
1668436200000,10.29300000,10.34900000,10.18900000,10.30400000,83521.19000000,1668437999999,856587.56865000,4181,39165.71000000,401789.55962000
1668438000000,10.30000000,10.32800000,10.15500000,10.17500000,56377.48000000,1668439799999,578036.22876000,2987,28480.06000000,291926.57864000
1668439800000,10.17100000,10.20800000,10.10100000,10.18900000,66707.63000000,1668441599999,677548.77632000,3596,30569.08000000,310575.12964000
1668441600000,10.19000000,10.23800000,9.96500000,10.07800000,81738.21000000,1668443399999,824343.18584000,4855,36993.43000000,373365.96454000
1668443400000,10.07600000,10.11900000,10.03600000,10.08800000,35781.07000000,1668445199999,360910.33640000,2596,17538.20000000,176893.91026000
1668445200000,10.08800000,10.19800000,10.06200000,10.19000000,36212.18000000,1668446999999,367283.11584000,2656,18624.48000000,188960.63123000
1668447000000,10.18900000,10.35000000,10.16900000,10.33700000,66209.86000000,1668448799999,679983.94564000,3857,39748.44000000,408208.95184000
1668448800000,10.33700000,10.34700000,10.24200000,10.32800000,42037.13000000,1668450599999,432511.68599000,2186,17593.37000000,181046.06585000
1668450600000,10.32700000,10.38300000,10.30100000,10.31300000,53698.88000000,1668452399999,555771.68505000,2379,29472.45000000,305070.25460000
1668452400000,10.31400000,10.34900000,10.24000000,10.29800000,62690.80000000,1668454199999,645663.13559000,2887,30049.65000000,309587.92751000
1668454200000,10.29500000,10.30000000,10.09300000,10.12500000,53947.65000000,1668455999999,549752.67098000,3388,22487.05000000,228951.45432000
1668456000000,10.12500000,10.19900000,10.09200000,10.16200000,47435.25000000,1668457799999,480796.86055000,2659,25695.72000000,260443.01316000
1668457800000,10.16700000,10.18000000,10.04400000,10.09200000,35555.54000000,1668459599999,359355.16025000,2418,15787.15000000,159537.43705000
