Open time,Open price,High price,Low price,Close price,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1640620800000,51450.58000000,51519.97000000,51210.00000000,51335.88000000,849.85444000,1640622599999,43653786.04877240,26553,487.03153000,25022676.83250420
1640622600000,51338.46000000,51485.93000000,51324.81000000,51468.00000000,383.85032000,1640624399999,19734153.24550540,20040,230.74554000,11862472.49418310
1640624400000,51468.00000000,51888.88000000,51441.67000000,51778.11000000,989.35582000,1640626199999,51115079.84089630,34676,559.12194000,28891617.15754280
1640626200000,51775.45000000,52088.00000000,51758.85000000,51853.10000000,1316.70601000,1640627999999,68360380.39600610,46217,755.50231000,39230589.60395050
1640628000000,51853.10000000,51932.00000000,51659.51000000,51678.91000000,664.69333000,1640629799999,34423348.47414240,24553,293.81657000,15219753.50799920
1640629800000,51678.91000000,51795.00000000,51626.55000000,51690.69000000,631.48477000,1640631599999,32636559.94507520,20537,355.17954000,18353281.23319820
1640631600000,51690.68000000,51713.64000000,51418.52000000,51500.00000000,503.55760000,1640633399999,25972190.72860490,19511,237.03597000,12226904.96917750
1640633400000,51500.00000000,51559.82000000,51200.00000000,51204.64000000,794.35920000,1640635199999,40811861.64920670,25990,387.28885000,19902717.21477370
1640635200000,51204.65000000,51365.76000000,51110.80000000,51160.03000000,618.26866000,1640636999999,31674505.17817990,20432,329.95932000,16906017.02197640
1640637000000,51160.03000000,51287.29000000,50906.32000000,51225.88000000,814.11689000,1640638799999,41579046.05865560,26338,391.24391000,19983861.68272050
1640638800000,51225.88000000,51297.98000000,51145.27000000,51292.00000000,538.24758000,1640640599999,27581327.20878410,20493,211.83758000,10854790.81552230
1640640600000,51292.00000000,51298.68000000,50940.00000000,50975.61000000,545.17115000,1640642399999,27870472.77342990,22996,213.58413000,10919668.75721840
1640642400000,50975.60000000,51230.43000000,50929.23000000,51103.96000000,463.40752000,1640644199999,23687029.81302670,25209,215.30606000,11005471.84119380
1640644200000,51103.95000000,51157.06000000,50702.01000000,51020.06000000,771.07326000,1640645999999,39252203.00457790,32508,357.39564000,18193777.78381190
1640646000000,51020.05000000,51057.68000000,50750.00000000,50888.00000000,470.20627000,1640647799999,23934969.81505840,17933,214.87833000,10938268.28554590
1640647800000,50888.00000000,50888.00000000,50622.00000000,50701.44000000,764.74375000,1640649599999,38804397.09950170,20131,337.75288000,17136932.80300010
1640649600000,50701.44000000,50704.05000000,50128.44000000,50311.94000000,1719.05675000,1640651399999,86671377.47752250,49557,741.52979000,37388339.71566440
1640651400000,50311.94000000,50663.27000000,50029.62000000,50350.23000000,1195.35903000,1640653199999,60080540.67738740,30791,606.68386000,30513669.25470870
1640653200000,50350.22000000,50350.23000000,49994.00000000,50149.40000000,1035.62916000,1640654999999,51933311.41075530,28395,410.47118000,20589811.63508600
1640655000000,50149.41000000,50149.41000000,49580.34000000,49818.63000000,1795.37011000,1640656799999,89472289.37588920,40271,740.38364000,36899036.89332060
